Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,2475.1,2709,2768.3,2708.6,3080.9,3225.4,3306.2,3879.1,4519.6,4908.8,5195,7434.9,7823.7,8450.9,9732.6,10182.1,10212.5,9671.8,9275.7,10006.9,9773.6,9112.5,8776.4
Libya,492.3,481.7,619,770.5,1006.1,991.1,872,820.7,1240.4,...,...,...,2691.3,3509.2,3246.9,...,...,...,...,...,...,...,...
Morocco,1390.8,2516.2,2394,2535.9,2464.7,2557.8,2582.2,2659.2,2966.1,3168,3390.4,3415.2,3660.8,4182.3,4146.9,3828.7,3852.1,3965.4,3993.1,4076.8,5225.6,5378.4,5368.3
Tunisia,388.2,403.5,399.5,415.7,423.2,455.3,480.2,443.1,481.8,496.8,515.5,614.9,621.1,683.8,817,974.7,1037.8,963.4,967.3,1189.6,1245.7,1250.5,1197
Angola,1876.3,1130.6,1158.9,1530.5,1456.8,2064,2424.4,2126.4,2878.6,2800.8,2997,2806.2,2945.1,4022.5,4292.5,2526.8,2018.7,1746.6,1440,1315.8,1151.8,981.5,980.5
Benin,29,26,47.9,52.2,56.9,57.7,57.7,...,62.5,...,...,...,76.2,80.7,87.8,102.5,90.7,128.2,94.1,75.4,75.8,97.4,104.1
Botswana,315.9,386.5,412,397.4,367.5,333.1,327.9,361.6,387,373,349.7,338.2,315.2,307.7,355.9,431.7,606,566.2,514.8,545.5,551.9,536.6,491
Burkina Faso,71.9,70.8,76,74.2,87.6,92.4,88.1,120.1,110.1,123.1,126.4,131.5,145.8,157.9,168.9,167.5,168.9,209.8,313.1,399.3,411.2,458.3,553.9
Burundi,78,103.4,99.1,100.7,97.9,93.8,78.3,78.7,65.6,...,...,...,70.4,72.6,70.7,72.4,72.5,62.4,68.1,91.9,70.9,68.4,89.3
Cameroon,252.9,251.9,272.9,292.8,311.4,307.5,334,350.3,363,367.9,393,356.9,383.4,402.9,404.7,415.5,452.2,466.7,462.3,467.4,417.3,443.3,447.9
Cape Verde,12.6,8.5,7.8,8.2,8.5,9.2,8.6,8.6,10.1,8.3,8.3,9,9.5,9.1,9.4,9.9,11.5,10.3,11.1,10.5,11.9,11.2,10.8
Central African Republic,...,...,28,31.6,29.5,29.1,...,30.5,43,50.1,74.1,67.5,59.3,60.2,42,34.4,33.1,32.2,33.3,45.7,48,55.5,44.3
Chad,46.3,52,61.6,62.4,74,75.2,277.2,487.1,648.4,751.5,670.8,620.2,...,718,381.7,246.4,348.9,248.2,260.4,257,332.4,331,382.9
"Congo, DR",64.6,...,...,104.1,172.5,202.4,219.7,207.4,149.2,160.7,252,288.3,366,408.9,370.2,529.5,452.5,357.4,307.6,355.5,367.3,306.1,346.1
"Congo, Republic",...,122.5,144.9,161.3,189.7,149.1,174,206.4,227,...,251.9,...,...,377.7,719.2,...,577,421.5,309.9,328.1,314.9,313.1,288.8
Cote d'Ivoire,...,...,...,317.7,335.1,320.9,332.2,361.7,362.4,430.7,411.9,344.8,420,418,504.8,651.8,686.5,561.8,642.1,603.6,655.7,637.7,647.1
Djibouti,46,45.2,57.4,70.7,61.3,71.4,76.1,50.6,47.5,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Equatorial Guinea,...,...,...,...,...,...,...,265.5,347.1,444.2,...,...,...,...,165.6,160.6,161.1,154.9,158.7,164.4,168.3,162.8,167.7
Eritrea,1565.2,1158.5,1107.4,1081,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Ethiopia,1518.5,964.8,801.8,682.9,740.7,743.4,671.5,615,491.7,486.5,492,474.1,443.1,444.2,484.6,496.7,545.4,568.9,573.8,544.1,510,487.8,915.4
Gabon,180.5,179.4,179.3,167.4,175,159,176.3,...,...,...,301.5,280.7,309.4,302.2,213.1,209.4,244.8,311.3,274.7,288.8,276.3,311.5,301.6
"Gambia, The",3.2,2.8,3,3.2,2.9,4,3.6,4.9,16,7.6,...,...,12.5,12.3,19,17.2,...,...,13.1,16,15.9,15.9,14.7
Ghana,82,48.4,56,68,63.2,62.9,67.2,103,90.2,104.8,99.6,185.1,284.6,209.7,280.4,224.3,169.5,193.7,219.8,250.1,255.4,298.3,273.8
Guinea,112.3,227,249.7,193.8,179.6,...,...,...,...,...,...,...,268,276,255.6,283.6,229.5,241.4,236.9,223.8,222.9,244.6,350.5
Guinea-Bissau,18.2,11.8,11.1,11.4,...,16,...,...,...,14,17.8,16.5,24.5,20.8,20.9,19.5,17.8,21,22,24.7,25.6,25.7,26.1
Kenya,646.8,744.4,801.2,808.9,798.2,841.9,832.8,932.5,889.9,908,962.7,983.8,1112.1,1097.9,998.1,1077.2,1158.9,1189.3,1220.2,1171.1,1158.5,1191,1149.1
Lesotho,49.1,51.6,39.5,37.2,34.7,35.4,37.2,40.5,29.5,48.8,60.7,47.2,46.1,46.5,49.4,51.9,53,57.9,53.6,48.8,45.6,37,35.5
Liberia,...,...,...,...,29.2,38.9,21.1,13.3,21,26.9,33,43.2,48.6,44,39.3,36.8,32.5,23.9,19.2,15.3,13.7,14.7,17.8
Madagascar,90.2,112.1,88.6,102.5,102,91.6,88.3,106.4,111.9,80.8,63.4,70.9,69.3,69,69,66,67.9,68.9,74.5,80.4,92.3,99.2,96.6
Malawi,13.6,14.6,15.7,16.2,27.2,44.5,36.5,37.6,45.9,56.3,47.5,48.5,55.6,87.1,64.5,51.1,51.9,64.2,70.4,94.4,102.2,92.6,76.2
Mali,83.3,83.8,83.4,95.3,103.7,108.7,117.8,122.4,135.7,141.1,148.8,151,143.4,144.3,202.9,339.2,406.1,501.6,495.5,524.5,640.4,652.9,536.3
Mauritania,68.1,95.2,68.2,108,111.1,94,110,...,127.6,128,...,...,152.2,150.2,146.7,139.8,154.4,161.2,172.1,174.9,216,230.9,217.2
Mauritius,14.8,14.9,15.3,15.7,14.8,15.1,14.8,14.4,16,17.2,15.7,16.1,15.5,21.3,17.5,17.1,22.1,21.3,20.7,20.1,18.6,19.7,20.1
Mozambique,73.1,83.4,86.3,85.4,93.5,71.9,64.5,72.5,75.4,83.3,107.3,99.7,111.6,129,144.5,138.8,152,153.6,211,227.1,325.4,310,247.8
Namibia,144.1,169.9,167.8,165.4,174.9,193.7,204.1,227.9,285.8,301.3,328.7,347.3,341.9,360.2,529.7,580.7,515.4,468.5,448.6,428.2,425.2,400.2,384.2
Niger,38.6,47.3,36.4,36.8,42.8,41.2,...,...,51.3,53.1,69.8,81,154.8,104.3,144.7,...,196,227.4,239.7,279.5,256.7,202.4,260.9
Nigeria,1124,1600.8,2416.5,1487.5,1449.1,1279.5,1333.6,1551.4,2175.5,2260.9,2654.5,2955.2,2603.3,2502.4,2275.3,2219.5,2143.3,2049.9,2418.4,2218.5,2856,4466.4,2771.4
Rwanda,85.8,87.5,82.7,77,67.2,65,71.6,66.3,69.9,71.5,72.8,73.6,72.3,74.3,84.4,99.1,105.2,109.9,117.6,123.7,142.9,167.8,170.2
Senegal,113.3,125.1,125.5,136.4,137,155.5,180.3,202.6,198.3,211.9,200.1,216.8,197.6,228.6,234.3,250.7,353.7,346.4,411.5,395,366.4,483.2,453.4
Seychelles,12.6,13,12.9,12.8,16.4,15,14.8,18,13.6,11.5,8.7,10.6,12.4,14.5,34,20,24.5,24.7,23.5,23.4,23.7,40.1,22.2
Sierra Leone,30,35.6,35.4,38.6,31.4,30.7,34.2,32.1,24.1,28.4,29.5,30.7,33.6,33.9,52,44,54,49,34,31,24.1,27.3,26.2
Somalia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
South Africa,2545.3,2846,3118.5,3086.7,3195.4,3547.5,3596.4,3544.8,3518.6,3680.1,3561,3689.7,3856.1,3932.3,3936.5,3967.9,3865.7,3810.2,3651,3627.1,3767.1,3393.9,3107.9
South Sudan,xxx,xxx,xxx,xxx,xxx,xxx,2720.7,2494.2,3448.9,2460.7,2600.8,3712.7,2363.7,2350.1,3063.6,2460.3,717.9,309.5,434.7,267.3,142.5,213.2,322.1
Sudan,2005.2,1271.3,1491.4,1127.5,3202.9,2231.9,2625.1,3128.2,3773.8,3680,...,...,...,...,...,1747.4,1831.2,2377.1,1211,1095.4,668.9,375.2,...
Eswatini,41.4,38.9,39.7,46.2,51,66.8,66.4,67.6,75.8,82.4,91.6,89.4,78.9,83.4,83.9,84.9,99.5,91.7,95.7,91.9,89.3,83.2,78.5
Tanzania,181.8,211.3,206.7,187.6,191.4,206.5,225.6,236.4,240.4,267.7,346.6,373.1,378.9,437.7,487.7,566.8,620.3,623,655.4,662.5,703.6,759.5,806.8
Togo,...,...,...,46,45.8,44.9,...,...,58.3,57.3,61.1,58.4,65.6,71.8,82.3,80.8,93.8,101,111.9,191.4,177.4,198.8,358.5
Uganda,225.5,227.7,244.2,263,300.7,301.5,291.4,298.1,328.5,322.9,690.6,684.6,349.6,293.5,310.6,344.7,357.9,391.1,463.4,710.1,1048.4,1066.6,896.8
Zambia,...,...,...,...,139.4,156,170.5,193.1,192.4,181.6,201.8,212,235.9,254.6,313.3,335.1,273.1,265.9,305.3,266.8,237,217.6,248.9
Zimbabwe,106.9,140.9,507.5,159.7,98.3,73.7,68.2,...,...,...,54,105.4,163,179.8,185.9,194.9,188.3,174.7,195,190.1,65.9,261,175.7
Belize,10,10.4,10.7,11.4,12.2,13.3,14.6,16,20.5,19.1,16.8,16.6,16.2,18.9,20.9,20.8,22.8,23.9,24.2,25.2,26.9,25.2,22.2
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Dominican Republic,330.9,389,360.4,268.7,237.7,294.4,284.1,284.1,326.3,320.5,344.3,327.6,369.5,362.5,418.5,449.3,473.8,525.6,589,619.1,630.6,581.6,672
El Salvador,177.3,233.2,245.8,188.4,182.4,180.9,185.9,207.2,202.8,220.3,230.5,240.7,240.5,252.7,246.1,262.5,260.8,272.1,303.9,327,355.8,351.6,393.7
Guatemala,469.7,552.4,409.2,444.1,265.5,212.6,248.2,244.2,264.7,248.4,271.9,287.6,316.9,339.1,317.4,315.4,345.5,302.4,296.2,355.3,356.6,341.8,405.4
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,...,6.5,6.8,9.9,9.6,10.4,18,16.4,32.5,20.9,13
Honduras,109.3,124.7,124.2,157.3,112.6,110.6,126.9,150.6,186.7,209.5,217.2,239.7,249,344.7,345.9,401.9,419.7,457.7,431.8,448.5,375.3,438.1,449.5
Jamaica,66.8,71.1,85.8,89.6,83.2,80,95.3,105.5,142.6,138,122.4,129.6,129.1,124.4,120.1,124.6,141.4,148.7,209.9,265.3,238.5,217.6,203.2
Mexico,3454.1,3418,3303.9,3295.4,3174.8,3225.9,3025.3,4059.5,4036.7,4847.6,4616.8,5039.8,5335.5,5644,5896.1,5537.6,6192.2,5610.4,6274.7,6896.9,9011.7,8680.8,7837.7
Nicaragua,43.5,39.6,50.3,51.3,46.1,46.2,48.6,48.6,46,45.6,48.1,54.4,72.6,75.6,81.7,100.3,87.4,89.8,85,79.1,82.4,77.9,79
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,...,35.6,47.9,80.4,174.5,210.4,230,230.7,228.3,213.7,201.2,196.5,208.4,248.4,209.2,212.8,230.7,214.9,174.9,180,176.4,209.3,195
Canada,14593.6,14980.5,15056.5,15333.7,15914,16613.9,17386.1,18955.4,20427.8,21360.7,19293.2,19945.2,18966,17531.8,17817.8,20471.1,20742.6,25056.3,24940.6,24678.9,25522.3,25362.2,26112.1
United States of America,503680.1,507770.8,570129.6,648901.6,707251,739826.2,750486.9,770512.7,826562.7,891604.5,917092.3,906233,855896.4,790061.9,741463.5,724625.9,722402.3,714959.1,736477.5,778326.9,814965.2,806230.2,811591.2
Argentina,2984.4,2939.9,2505.3,2580.5,2655.4,2789.3,2876,3111.1,3091.3,3331.7,3296.7,3249.5,3209.4,3596,3720.2,3684.2,3584.3,3945.4,3510.6,3194,3120.2,3073.4,2101.1
Bolivia,468.3,527.7,465.5,534.3,510.2,485.2,470.1,509.7,726.3,630.2,646.7,706.3,785.7,829.2,849.1,753.4,653,690.3,703.2,673.7,547.9,569.9,619.6
Brazil,13696.9,15864.8,16076.6,12825.2,13325.9,14418.6,14929.8,16101.1,17128.2,18676,20739.6,20089.1,20475.4,20586.8,20998.5,20511.8,19470.6,20739.8,22116,21162.3,20258.4,19187.1,17675.1
Chile,2880.8,2945.7,2931.5,3325.4,3769.8,3875.9,4416,4347.9,4615.1,4150.2,4669.5,4976.9,4671,4726.5,4796.2,4783.8,4941.4,5182,5170.9,5168.5,5762.2,6119.4,5738.8
Colombia,4338.1,4771.1,5009.7,5262.5,5617.1,5718.5,6046.5,6414.4,7582,7965.1,7904.4,7357.9,7875.8,8576,8457.8,8501.7,8382.3,8944.9,8791,9450.9,9755.4,10180.1,10295.3
Ecuador,722.8,757.9,886,1201.3,1123.4,1474,1420.9,1915.8,2220.6,2500.4,2594.2,2909.6,2921.9,3004.9,2954.5,2649.1,2519.5,2458.6,2550.9,2341.2,2359.4,2382.8,2411.3
Guyana,24,27.4,30.7,28.9,38.2,30.1,29.3,34.4,39.1,38.7,37.3,37.1,37.6,38.9,43.3,51.7,57.1,64.4,66.5,71.1,80.3,76.5,78.3
Paraguay,186.9,169.9,163.9,146.5,173.7,154.2,176.6,181.2,181.1,201.3,222.8,253.9,291,320,337.7,370.6,344.4,334.2,364.1,368.5,387.3,372.6,358.9
Peru,1447.6,1414.2,1314.2,1349.5,1321.5,1638.5,1712.4,1659.3,1654.6,2034.9,2216.3,2259.2,2534,2921.4,2889.5,3226.7,2529.2,2496.7,2459.5,2539.1,2511,2657.5,2588.7
Uruguay,860.8,854.1,787.3,685.1,661.8,670.4,700.8,669.4,755.7,772.9,843.1,819.8,894,938.5,968.4,982.2,1006.3,1063,1155.5,1115.6,1144.1,1258.3,1204.2
Venezuela,0.5,0.5,0.4,0.4,0.5,0.9,1.2,1.2,1.2,0.7,0.6,0.7,0.8,1,0.6,0.5,0.2,1.9,2.3,17.4,10.7,2,4.7
Australia,15737.7,16360.8,17064.3,17382,18098.7,18730.7,19731.6,20943.9,21707.6,23342.9,23614.4,23287.3,22471.2,22276,24176.7,26650.2,29183.2,29131,28435.4,29206.3,30633.8,32718.1,32824.2
Fiji,60.6,63.7,57.2,57.4,64.1,56.2,70.5,87.4,56.9,64.8,60.3,63.4,59.6,58.4,76.7,47.9,58.8,77.6,81.4,80.1,74.7,68.8,67.5
New Zealand,2096.1,2048.4,1970.8,1944,1821.2,1799.4,1991,2009.1,1948.7,2045.2,2082.7,2013.9,1958.6,1912.7,1908.3,1968.5,2171.6,2326.2,2540.5,3092.1,3183.3,2905.6,2968.4
Papua New Guinea,87.7,73.4,50.9,46.1,51.6,60.8,60.2,72.6,59.8,75.5,62.6,72.4,104.8,102.2,113.9,107.4,90.2,88.9,86.8,96.8,98.5,88.7,93.7
Afghanistan,...,...,...,...,190.2,171.3,173.2,266.6,232.4,261.5,279.6,275,206.1,190,231.8,185.3,183.6,180.5,197.2,236.3,273.4,278.3,...
Bangladesh,1688.2,1686.9,1636.5,1641.6,1672.7,1695.7,1825.2,1920.8,1897.7,2214,2666.1,2825.6,2972.4,2962.1,3166.1,3576.7,3930.9,3830.1,4217,4814.9,4896.1,4965.8,4970.8
India,30792.6,31865.1,31766.5,32475.7,37723.5,40146.3,40471.5,40960.4,46459.4,54698.7,54918.7,55423.4,55142.1,55178.6,57867.1,58416.9,64374.7,68909.5,71336.2,76372.3,76835.6,76348.5,80955.8
Nepal,115.8,149.7,199.3,222.2,265.3,293.4,276.1,265.7,280.2,314.2,329.7,340.8,323.3,354.4,400.5,384.6,408.6,470.2,461.3,446.6,458.8,450.7,433.7
Pakistan,4955,5300.7,5700.4,6091.5,6341.8,6600.6,6709.8,6756.5,6370,6564.6,6864.4,7236.1,7673.9,7937.3,8348.7,9068.9,9379.2,10382,11705.1,11553.6,11355,11836.4,11600.4
Sri Lanka,1558.6,1301.2,1076.5,968.1,1078.7,998.2,1152.6,1411.6,1616,1669.2,1555.7,1631.5,1472.8,1512.4,1773.4,1911.4,1667.9,1736.7,1592.1,1609.9,1499.2,1702.9,1169.9
China,45586.1,54052.9,62082.2,67187.9,74005.6,81267.8,93544.5,102829.8,112507.1,136520.5,143244.6,153775.4,169575.1,183362.6,197998.8,213542.4,225835.1,239724.3,253766.4,266129.3,278673.3,285930.5,297999
